Xseq  date      time  lon      lat      depth_xbt  temp_xbt  
32    19990206  1938  141.740  -61.413  76.0       24.77     
32    19990206  1938  141.740  -61.413  76.7       24.38     
32    19990206  1938  141.740  -61.413  77.3       24.36     
32    19990206  1938  141.740  -61.413  77.9       23.96     
32    19990206  1938  141.740  -61.413  78.6       23.93     
32    19990206  1938  141.740  -61.413  79.2       23.82     
32    19990206  1938  141.740  -61.413  79.9       23.59     
32    19990206  1938  141.740  -61.413  80.5       23.39     
32    19990206  1938  141.740  -61.413  81.2       23.22     
32    19990206  1938  141.740  -61.413  81.8       22.78     
32    19990206  1938  141.740  -61.413  82.4       22.80     
32    19990206  1938  141.740  -61.413  83.1       22.55     
32    19990206  1938  141.740  -61.413  83.7       22.53     
32    19990206  1938  141.740  -61.413  84.4       22.37     
32    19990206  1938  141.740  -61.413  85.0       22.23     
32    19990206  1938  141.740  -61.413  85.6       22.08     
32    19990206  1938  141.740  -61.413  86.3       21.93     
32    19990206  1938  141.740  -61.413  86.9       21.78     
32    19990206  1938  141.740  -61.413  87.6       21.64     
32    19990206  1938  141.740  -61.413  88.2       21.50     
32    19990206  1938  141.740  -61.413  88.9       21.33     
32    19990206  1938  141.740  -61.413  89.5       21.27     
32    19990206  1938  141.740  -61.413  90.1       21.16     
32    19990206  1938  141.740  -61.413  90.8       21.04     
32    19990206  1938  141.740  -61.413  91.4       20.95     
32    19990206  1938  141.740  -61.413  92.1       20.83     
32    19990206  1938  141.740  -61.413  92.7       20.72     
32    19990206  1938  141.740  -61.413  93.3       20.61     
32    19990206  1938  141.740  -61.413  94.0       20.45     
32    19990206  1938  141.740  -61.413  94.6       20.33     
32    19990206  1938  141.740  -61.413  95.3       20.29     
32    19990206  1938  141.740  -61.413  95.9       20.16     
32    19990206  1938  141.740  -61.413  96.5       20.10     
32    19990206  1938  141.740  -61.413  97.2       19.98     
32    19990206  1938  141.740  -61.413  97.8       19.88     
32    19990206  1938  141.740  -61.413  98.5       19.79     
32    19990206  1938  141.740  -61.413  99.1       19.65     
32    19990206  1938  141.740  -61.413  99.7       19.59     
32    19990206  1938  141.740  -61.413  100.4      19.51     
32    19990206  1938  141.740  -61.413  101.0      19.47     
32    19990206  1938  141.740  -61.413  101.7      19.37     
32    19990206  1938  141.740  -61.413  102.3      19.34     
32    19990206  1938  141.740  -61.413  103.       19.26     
32    19990206  1938  141.740  -61.413  103.6      19.17     
32    19990206  1938  141.740  -61.413  104.2      19.08     
32    19990206  1938  141.740  -61.413  104.9      19.02     
32    19990206  1938  141.740  -61.413  105.5      18.97     
32    19990206  1938  141.740  -61.413  106.2      18.87     
32    19990206  1938  141.740  -61.413  106.8      18.71     
32    19990206  1938  141.740  -61.413  107.4      18.75     
32    19990206  1938  141.740  -61.413  108.1      18.68     
32    19990206  1938  141.740  -61.413  108.7      18.59     
32    19990206  1938  141.740  -61.413  109.4      18.52     
32    19990206  1938  141.740  -61.413  110.0      18.41     
32    19990206  1938  141.740  -61.413  110.6      18.39     
32    19990206  1938  141.740  -61.413  111.3      18.32     
32    19990206  1938  141.740  -61.413  111.9      18.24     
32    19990206  1938  141.740  -61.413  112.6      18.21     
32    19990206  1938  141.740  -61.413  113.2      18.16     
32    19990206  1938  141.740  -61.413  113.8      18.11     
32    19990206  1938  141.740  -61.413  114.5      18.04     
32    19990206  1938  141.740  -61.413  115.1      17.99     
32    19990206  1938  141.740  -61.413  115.8      17.94     
32    19990206  1938  141.740  -61.413  116.4      17.87     
32    19990206  1938  141.740  -61.413  117.0      17.81     
32    19990206  1938  141.740  -61.413  117.7      17.79     
32    19990206  1938  141.740  -61.413  118.3      17.73     
32    19990206  1938  141.740  -61.413  118.9      17.67     
32    19990206  1938  141.740  -61.413  119.6      17.58     
32    19990206  1938  141.740  -61.413  120.2      17.57     
32    19990206  1938  141.740  -61.413  120.9      17.51     
32    19990206  1938  141.740  -61.413  121.5      17.46     
32    19990206  1938  141.740  -61.413  122.1      17.22     
32    19990206  1938  141.740  -61.413  122.8      17.39     
32    19990206  1938  141.740  -61.413  123.4      17.35     
32    19990206  1938  141.740  -61.413  124.1      17.30     
32    19990206  1938  141.740  -61.413  124.7      17.27     
32    19990206  1938  141.740  -61.413  125.3      17.22     
32    19990206  1938  141.740  -61.413  126.0      17.20     
32    19990206  1938  141.740  -61.413  126.6      17.17     
32    19990206  1938  141.740  -61.413  127.3      17.12     
32    19990206  1938  141.740  -61.413  127.9      17.09     
32    19990206  1938  141.740  -61.413  128.5      17.04     
32    19990206  1938  141.740  -61.413  129.2      17.02     
32    19990206  1938  141.740  -61.413  129.8      16.96     
32    19990206  1938  141.740  -61.413  130.4      16.82     
32    19990206  1938  141.740  -61.413  131.1      16.91     
32    19990206  1938  141.740  -61.413  131.7      16.83     
32    19990206  1938  141.740  -61.413  132.4      16.84     
32    19990206  1938  141.740  -61.413  133.0      16.78     
32    19990206  1938  141.740  -61.413  133.6      16.73     
32    19990206  1938  141.740  -61.413  134.3      16.71     
32    19990206  1938  141.740  -61.413  134.9      16.68     
32    19990206  1938  141.740  -61.413  135.6      16.65     
32    19990206  1938  141.740  -61.413  136.2      16.61     
32    19990206  1938  141.740  -61.413  136.8      16.58     
32    19990206  1938  141.740  -61.413  137.5      16.56     
32    19990206  1938  141.740  -61.413  138.1      16.51     
32    19990206  1938  141.740  -61.413  138.7      16.47     
32    19990206  1938  141.740  -61.413  139.4      16.47     
32    19990206  1938  141.740  -61.413  140.0      16.43     
32    19990206  1938  141.740  -61.413  140.7      16.40     
32    19990206  1938  141.740  -61.413  141.3      16.39     
32    19990206  1938  141.740  -61.413  141.9      16.36     
32    19990206  1938  141.740  -61.413  142.6      16.34     
32    19990206  1938  141.740  -61.413  143.2      16.32     
32    19990206  1938  141.740  -61.413  143.8      16.28     
32    19990206  1938  141.740  -61.413  144.5      16.25     
32    19990206  1938  141.740  -61.413  145.1      16.24     
32    19990206  1938  141.740  -61.413  145.8      16.22     
32    19990206  1938  141.740  -61.413  146.4      16.19     
32    19990206  1938  141.740  -61.413  147.0      16.16     
32    19990206  1938  141.740  -61.413  147.7      16.14     
32    19990206  1938  141.740  -61.413  148.3      16.03     
32    19990206  1938  141.740  -61.413  148.9      16.09     
32    19990206  1938  141.740  -61.413  149.6      16.09     
32    19990206  1938  141.740  -61.413  150.2      16.07     
32    19990206  1938  141.740  -61.413  150.9      16.04     
32    19990206  1938  141.740  -61.413  151.5      16.01     
32    19990206  1938  141.740  -61.413  152.1      16.00     
32    19990206  1938  141.740  -61.413  152.8      15.97     
32    19990206  1938  141.740  -61.413  153.4      15.94     
32    19990206  1938  141.740  -61.413  154.0      15.92     
32    19990206  1938  141.740  -61.413  154.7      15.91     
32    19990206  1938  141.740  -61.413  155.3      15.89     
32    19990206  1938  141.740  -61.413  155.9      15.89     
32    19990206  1938  141.740  -61.413  156.6      15.88     
32    19990206  1938  141.740  -61.413  157.2      15.87     
32    19990206  1938  141.740  -61.413  157.9      15.85     
32    19990206  1938  141.740  -61.413  158.5      15.83     
32    19990206  1938  141.740  -61.413  159.1      15.82     
32    19990206  1938  141.740  -61.413  159.8      15.79     
32    19990206  1938  141.740  -61.413  160.4      15.78     
32    19990206  1938  141.740  -61.413  161.0      15.74     
32    19990206  1938  141.740  -61.413  161.7      15.72     
32    19990206  1938  141.740  -61.413  162.3      15.69     
32    19990206  1938  141.740  -61.413  163.       15.68     
32    19990206  1938  141.740  -61.413  163.6      15.66     
32    19990206  1938  141.740  -61.413  164.2      15.64     
32    19990206  1938  141.740  -61.413  164.9      15.60     
32    19990206  1938  141.740  -61.413  165.5      15.59     
32    19990206  1938  141.740  -61.413  166.1      15.57     
32    19990206  1938  141.740  -61.413  166.8      15.53     
32    19990206  1938  141.740  -61.413  167.4      15.49     
32    19990206  1938  141.740  -61.413  168.0      15.50     
32    19990206  1938  141.740  -61.413  168.7      15.48     
32    19990206  1938  141.740  -61.413  169.3      15.46     
32    19990206  1938  141.740  -61.413  169.9      15.45     
32    19990206  1938  141.740  -61.413  170.6      15.44     
32    19990206  1938  141.740  -61.413  171.2      15.41     
32    19990206  1938  141.740  -61.413  171.9      15.40     
32    19990206  1938  141.740  -61.413  172.5      15.38     
32    19990206  1938  141.740  -61.413  173.1      15.36     
32    19990206  1938  141.740  -61.413  173.8      15.35     
32    19990206  1938  141.740  -61.413  174.4      15.33     
32    19990206  1938  141.740  -61.413  175.0      15.31     
32    19990206  1938  141.740  -61.413  175.7      15.29     
32    19990206  1938  141.740  -61.413  176.3      15.28     
32    19990206  1938  141.740  -61.413  176.9      14.31     
32    19990206  1938  141.740  -61.413  177.6      14.60     
32    19990206  1938  141.740  -61.413  178.2      14.98     
32    19990206  1938  141.740  -61.413  178.8      15.26     
32    19990206  1938  141.740  -61.413  179.5      15.29     
32    19990206  1938  141.740  -61.413  180.1      15.28     
32    19990206  1938  141.740  -61.413  180.7      15.26     
32    19990206  1938  141.740  -61.413  181.4      15.24     
32    19990206  1938  141.740  -61.413  182.0      15.21     
32    19990206  1938  141.740  -61.413  182.7      15.18     
32    19990206  1938  141.740  -61.413  183.3      15.15     
32    19990206  1938  141.740  -61.413  183.9      15.11     
32    19990206  1938  141.740  -61.413  184.6      15.08     
32    19990206  1938  141.740  -61.413  185.2      15.07     
32    19990206  1938  141.740  -61.413  185.8      15.05     
32    19990206  1938  141.740  -61.413  186.5      15.04     
32    19990206  1938  141.740  -61.413  187.1      15.01     
32    19990206  1938  141.740  -61.413  187.7      15.00     
32    19990206  1938  141.740  -61.413  188.4      15.00     
32    19990206  1938  141.740  -61.413  189.0      14.98     
32    19990206  1938  141.740  -61.413  189.6      14.97     
32    19990206  1938  141.740  -61.413  190.3      14.96     
32    19990206  1938  141.740  -61.413  190.9      14.94     
32    19990206  1938  141.740  -61.413  191.5      14.92     
32    19990206  1938  141.740  -61.413  192.2      14.91     
32    19990206  1938  141.740  -61.413  192.8      14.90     
32    19990206  1938  141.740  -61.413  193.4      14.88     
32    19990206  1938  141.740  -61.413  194.1      14.86     
32    19990206  1938  141.740  -61.413  194.7      14.84     
32    19990206  1938  141.740  -61.413  195.3      14.84     
32    19990206  1938  141.740  -61.413  196.0      14.83     
32    19990206  1938  141.740  -61.413  196.6      14.82     
32    19990206  1938  141.740  -61.413  197.2      14.81     
32    19990206  1938  141.740  -61.413  197.9      14.79     
32    19990206  1938  141.740  -61.413  198.5      14.78     
32    19990206  1938  141.740  -61.413  199.1      14.77     
32    19990206  1938  141.740  -61.413  199.8      14.77     
32    19990206  1938  141.740  -61.413  200.4      14.76     
32    19990206  1938  141.740  -61.413  201.0      14.75     
32    19990206  1938  141.740  -61.413  201.7      14.73     
32    19990206  1938  141.740  -61.413  202.3      14.72     
32    19990206  1938  141.740  -61.413  202.9      14.71     
32    19990206  1938  141.740  -61.413  203.6      14.70     
32    19990206  1938  141.740  -61.413  204.2      14.69     
32    19990206  1938  141.740  -61.413  204.8      14.69     
32    19990206  1938  141.740  -61.413  205.5      14.68     
32    19990206  1938  141.740  -61.413  206.1      14.67     
32    19990206  1938  141.740  -61.413  206.7      14.67     
32    19990206  1938  141.740  -61.413  207.4      14.66     
32    19990206  1938  141.740  -61.413  208.0      14.67     
32    19990206  1938  141.740  -61.413  208.6      14.64     
32    19990206  1938  141.740  -61.413  209.3      14.65     
32    19990206  1938  141.740  -61.413  209.9      14.65     
32    19990206  1938  141.740  -61.413  210.5      14.66     
32    19990206  1938  141.740  -61.413  211.2      14.63     
32    19990206  1938  141.740  -61.413  211.8      14.63     
32    19990206  1938  141.740  -61.413  212.4      14.61     
32    19990206  1938  141.740  -61.413  213.1      14.61     
32    19990206  1938  141.740  -61.413  213.7      14.59     
32    19990206  1938  141.740  -61.413  214.3      14.58     
32    19990206  1938  141.740  -61.413  215.0      14.58     
32    19990206  1938  141.740  -61.413  215.6      14.57     
32    19990206  1938  141.740  -61.413  216.2      14.56     
32    19990206  1938  141.740  -61.413  216.9      14.54     
32    19990206  1938  141.740  -61.413  217.5      14.54     
32    19990206  1938  141.740  -61.413  218.1      14.53     
32    19990206  1938  141.740  -61.413  218.8      14.53     
32    19990206  1938  141.740  -61.413  219.4      14.52     
32    19990206  1938  141.740  -61.413  220.0      14.51     
32    19990206  1938  141.740  -61.413  220.7      14.49     
32    19990206  1938  141.740  -61.413  221.3      14.48     
32    19990206  1938  141.740  -61.413  221.9      14.47     
32    19990206  1938  141.740  -61.413  222.6      14.44     
32    19990206  1938  141.740  -61.413  223.2      14.43     
32    19990206  1938  141.740  -61.413  223.8      14.44     
32    19990206  1938  141.740  -61.413  224.5      14.42     
32    19990206  1938  141.740  -61.413  225.1      14.40     
32    19990206  1938  141.740  -61.413  225.7      14.39     
32    19990206  1938  141.740  -61.413  226.4      14.38     
32    19990206  1938  141.740  -61.413  227.0      14.36     
32    19990206  1938  141.740  -61.413  227.6      14.35     
32    19990206  1938  141.740  -61.413  228.3      14.33     
32    19990206  1938  141.740  -61.413  228.9      14.32     
32    19990206  1938  141.740  -61.413  229.5      14.29     
32    19990206  1938  141.740  -61.413  230.1      14.22     
32    19990206  1938  141.740  -61.413  230.8      14.25     
32    19990206  1938  141.740  -61.413  231.4      14.25     
32    19990206  1938  141.740  -61.413  232.0      14.23     
32    19990206  1938  141.740  -61.413  232.7      14.21     
32    19990206  1938  141.740  -61.413  233.3      14.20     
32    19990206  1938  141.740  -61.413  233.9      14.18     
32    19990206  1938  141.740  -61.413  234.6      14.17     
32    19990206  1938  141.740  -61.413  235.2      14.15     
32    19990206  1938  141.740  -61.413  235.8      14.14     
32    19990206  1938  141.740  -61.413  236.5      14.13     
32    19990206  1938  141.740  -61.413  237.1      14.11     
32    19990206  1938  141.740  -61.413  237.7      14.10     
32    19990206  1938  141.740  -61.413  238.4      14.10     
32    19990206  1938  141.740  -61.413  239.0      14.08     
32    19990206  1938  141.740  -61.413  239.6      14.07     
32    19990206  1938  141.740  -61.413  240.2      14.06     
32    19990206  1938  141.740  -61.413  240.9      14.06     
32    19990206  1938  141.740  -61.413  241.5      14.07     
32    19990206  1938  141.740  -61.413  242.1      14.05     
32    19990206  1938  141.740  -61.413  242.8      14.05     
32    19990206  1938  141.740  -61.413  243.4      14.04     
32    19990206  1938  141.740  -61.413  244.0      14.03     
32    19990206  1938  141.740  -61.413  244.7      14.03     
32    19990206  1938  141.740  -61.413  245.3      13.39     
32    19990206  1938  141.740  -61.413  245.9      13.81     
32    19990206  1938  141.740  -61.413  246.6      13.59     
32    19990206  1938  141.740  -61.413  247.2      14.02     
32    19990206  1938  141.740  -61.413  247.8      14.04     
32    19990206  1938  141.740  -61.413  248.4      14.05     
32    19990206  1938  141.740  -61.413  249.1      14.03     
32    19990206  1938  141.740  -61.413  249.7      14.01     
32    19990206  1938  141.740  -61.413  250.3      13.98     
32    19990206  1938  141.740  -61.413  251.0      13.96     
32    19990206  1938  141.740  -61.413  251.6      13.93     
32    19990206  1938  141.740  -61.413  252.2      13.91     
32    19990206  1938  141.740  -61.413  252.9      13.89     
32    19990206  1938  141.740  -61.413  253.5      13.87     
32    19990206  1938  141.740  -61.413  254.1      13.86     
32    19990206  1938  141.740  -61.413  254.7      13.84     
32    19990206  1938  141.740  -61.413  255.4      13.83     
32    19990206  1938  141.740  -61.413  256.0      13.81     
32    19990206  1938  141.740  -61.413  256.6      13.82     
32    19990206  1938  141.740  -61.413  257.3      13.81     
32    19990206  1938  141.740  -61.413  257.9      13.80     
32    19990206  1938  141.740  -61.413  258.5      13.78     
32    19990206  1938  141.740  -61.413  259.2      13.77     
32    19990206  1938  141.740  -61.413  259.8      13.76     
32    19990206  1938  141.740  -61.413  260.4      13.75     
32    19990206  1938  141.740  -61.413  261.0      13.74     
32    19990206  1938  141.740  -61.413  261.7      13.73     
32    19990206  1938  141.740  -61.413  262.3      13.71     
32    19990206  1938  141.740  -61.413  262.9      13.69     
32    19990206  1938  141.740  -61.413  263.6      13.69     
32    19990206  1938  141.740  -61.413  264.2      13.69     
32    19990206  1938  141.740  -61.413  264.8      13.67     
32    19990206  1938  141.740  -61.413  265.5      13.66     
32    19990206  1938  141.740  -61.413  266.1      13.64     
32    19990206  1938  141.740  -61.413  266.7      13.64     
32    19990206  1938  141.740  -61.413  267.3      13.62     
32    19990206  1938  141.740  -61.413  268.0      13.61     
32    19990206  1938  141.740  -61.413  268.6      13.60     
32    19990206  1938  141.740  -61.413  269.2      13.58     
32    19990206  1938  141.740  -61.413  269.9      13.57     
32    19990206  1938  141.740  -61.413  270.5      13.56     
32    19990206  1938  141.740  -61.413  271.1      13.55     
32    19990206  1938  141.740  -61.413  271.7      13.54     
32    19990206  1938  141.740  -61.413  272.4      13.54     
32    19990206  1938  141.740  -61.413  273.0      13.53     
32    19990206  1938  141.740  -61.413  273.6      13.52     
32    19990206  1938  141.740  -61.413  274.3      13.51     
32    19990206  1938  141.740  -61.413  274.9      13.51     
32    19990206  1938  141.740  -61.413  275.5      13.50     
32    19990206  1938  141.740  -61.413  276.1      13.49     
32    19990206  1938  141.740  -61.413  276.8      13.48     
32    19990206  1938  141.740  -61.413  277.4      13.48     
32    19990206  1938  141.740  -61.413  278.0      13.46     
32    19990206  1938  141.740  -61.413  278.7      13.45     
32    19990206  1938  141.740  -61.413  279.3      13.42     
32    19990206  1938  141.740  -61.413  279.9      13.42     
32    19990206  1938  141.740  -61.413  280.5      13.40     
32    19990206  1938  141.740  -61.413  281.2      13.39     
32    19990206  1938  141.740  -61.413  281.8      13.37     
32    19990206  1938  141.740  -61.413  282.4      13.36     
32    19990206  1938  141.740  -61.413  283.1      13.34     
32    19990206  1938  141.740  -61.413  283.7      13.25     
32    19990206  1938  141.740  -61.413  284.3      13.32     
32    19990206  1938  141.740  -61.413  284.9      13.33     
32    19990206  1938  141.740  -61.413  285.6      13.33     
32    19990206  1938  141.740  -61.413  286.2      13.32     
32    19990206  1938  141.740  -61.413  286.8      13.31     
32    19990206  1938  141.740  -61.413  287.4      13.31     
32    19990206  1938  141.740  -61.413  288.1      13.30     
32    19990206  1938  141.740  -61.413  288.7      13.29     
32    19990206  1938  141.740  -61.413  289.3      13.28     
32    19990206  1938  141.740  -61.413  290.       13.26     
32    19990206  1938  141.740  -61.413  290.6      13.26     
32    19990206  1938  141.740  -61.413  291.2      13.24     
32    19990206  1938  141.740  -61.413  291.8      13.24     
32    19990206  1938  141.740  -61.413  292.5      13.22     
32    19990206  1938  141.740  -61.413  293.1      13.22     
32    19990206  1938  141.740  -61.413  293.7      13.21     
32    19990206  1938  141.740  -61.413  294.4      13.20     
32    19990206  1938  141.740  -61.413  295.0      13.18     
32    19990206  1938  141.740  -61.413  295.6      13.17     
32    19990206  1938  141.740  -61.413  296.2      13.16     
32    19990206  1938  141.740  -61.413  296.9      13.15     
32    19990206  1938  141.740  -61.413  297.5      13.13     
32    19990206  1938  141.740  -61.413  298.1      13.11     
32    19990206  1938  141.740  -61.413  298.7      13.10     
32    19990206  1938  141.740  -61.413  299.4      13.08     
32    19990206  1938  141.740  -61.413  300.0      13.07     
32    19990206  1938  141.740  -61.413  300.6      13.06     
32    19990206  1938  141.740  -61.413  301.2      13.04     
32    19990206  1938  141.740  -61.413  301.9      13.03     
32    19990206  1938  141.740  -61.413  302.5      13.02     
32    19990206  1938  141.740  -61.413  303.1      13.01     
32    19990206  1938  141.740  -61.413  303.8      13.01     
32    19990206  1938  141.740  -61.413  304.4      13.00     
32    19990206  1938  141.740  -61.413  305.0      12.97     
32    19990206  1938  141.740  -61.413  305.6      12.85     
32    19990206  1938  141.740  -61.413  306.3      12.88     
32    19990206  1938  141.740  -61.413  306.9      12.86     
32    19990206  1938  141.740  -61.413  307.5      12.86     
32    19990206  1938  141.740  -61.413  308.1      12.90     
32    19990206  1938  141.740  -61.413  308.8      12.91     
32    19990206  1938  141.740  -61.413  309.4      12.89     
32    19990206  1938  141.740  -61.413  310.0      12.88     
32    19990206  1938  141.740  -61.413  310.6      12.86     
32    19990206  1938  141.740  -61.413  311.3      12.85     
32    19990206  1938  141.740  -61.413  311.9      12.84     
